s,mph,hp,rpm,kw,torque_Nm
3.88,63.88,36.87,11580.3883,27.493959,22.67344597
3.88,63.89,36.86,11582.20114,27.486502,22.66374854
3.9,64.02,36.84,11605.76799,27.471588,22.60545495
3.9,64.03,36.83,11607.58082,27.464131,22.59578934
3.92,64.16,36.67,11631.14767,27.344819,22.45204246
3.92,64.17,36.65,11632.96051,27.329905,22.43630008
3.94,64.29,36.4,11654.71453,27.14348,22.2416631
3.94,64.3,36.37,11656.52736,27.121109,22.21987586
3.96,64.43,36.02,11680.09421,26.860114,21.96164552
3.96,64.44,36,11681.90705,26.8452,21.94604519
3.98,64.56,35.67,11703.66106,26.599119,21.70445513
3.98,64.57,35.65,11705.4739,26.584205,21.68892605
4,64.69,35.37,11727.22792,26.375409,21.47866126
4,64.7,35.35,11729.04075,26.360495,21.46319828
4.02,64.81,35.18,11748.98193,26.233726,21.323727
4.02,64.82,35.18,11750.79477,26.233726,21.32043732
4.04,64.94,35.11,11772.54878,26.181527,21.23869584
4.04,64.95,35.12,11774.36162,26.188984,21.24147409
4.06,65.06,35.16,11794.3028,26.218812,21.22971225
4.06,65.07,35.17,11796.11564,26.226269,21.23248675
4.08,65.19,35.29,11817.86965,26.315753,21.26571443
4.08,65.2,35.3,11819.68249,26.32321,21.26847788
4.1,65.32,35.45,11841.4365,26.435065,21.31961529
4.1,65.33,35.46,11843.24934,26.442522,21.32236499
4.12,65.45,35.61,11865.00336,26.554377,21.37330203
4.12,65.46,35.62,11866.81619,26.561834,21.37603807
4.14,65.58,35.74,11888.57021,26.651318,21.40880547
4.14,65.59,35.75,11890.38304,26.658775,21.41153068
4.16,65.71,35.83,11912.13706,26.718431,21.42025522
4.16,65.72,35.84,11913.94989,26.725888,21.4229733
4.18,65.84,35.9,11935.70391,26.77063,21.41972677
4.18,65.85,35.9,11937.51674,26.77063,21.41647396
4.2,65.96,35.95,11957.45793,26.807915,21.4105364
4.2,65.97,35.95,11959.27076,26.807915,21.40729091
4.22,66.09,35.99,11981.02478,26.837743,21.39219728
4.22,66.1,36,11982.83761,26.8452,21.39490397
4.24,66.22,36.04,12004.59163,26.875028,21.37986242
4.24,66.23,36.04,12006.40446,26.875028,21.37663429
4.26,66.34,36.06,12026.34565,26.889942,21.35303222
4.26,66.35,36.06,12028.15848,26.889942,21.34981398
4.28,66.47,36.05,12049.9125,26.882485,21.30536066
4.28,66.48,36.04,12051.72533,26.875028,21.29624683
4.3,66.6,35.97,12073.47935,26.822829,21.21658633
4.3,66.61,35.96,12075.29218,26.815372,21.20750361
4.32,66.73,35.81,12097.0462,26.703517,21.08106253
4.32,66.74,35.79,12098.85904,26.688603,21.06613176
4.34,66.86,35.57,12120.61305,26.524549,20.89906194
4.34,66.87,35.55,12122.42589,26.509635,20.88418742
4.36,66.99,35.27,12144.1799,26.300839,20.6825833
4.36,67,35.24,12145.99274,26.278468,20.66190675
4.38,67.11,34.93,12165.93392,26.047301,20.44657863
4.38,67.12,34.9,12167.74676,26.02493,20.42597422
4.4,67.22,34.61,12185.8751,25.808677,20.22611124
4.4,67.23,34.59,12187.68794,25.793763,20.21141646
4.42,67.34,34.3,12207.62912,25.57751,20.00922686
4.42,67.35,34.28,12209.44196,25.562596,19.99459047
4.44,67.46,34.05,12229.38314,25.391085,19.82805339
4.44,67.47,34.03,12231.19597,25.376171,19.81346988
4.46,67.58,33.85,12251.13715,25.241945,19.67658771
4.46,67.59,33.83,12252.94999,25.227031,19.66205251
4.48,67.69,33.7,12271.07834,25.13009,19.55756071
4.48,67.7,33.69,12272.89117,25.122633,19.54886928
4.5,67.81,33.56,12292.83235,25.025692,19.44184641
4.5,67.82,33.55,12294.64519,25.018235,19.43318742
4.52,67.93,33.42,12314.58637,24.921294,19.32654094
4.52,67.94,33.41,12316.3992,24.913837,19.31791422
4.54,68.04,33.3,12334.52755,24.83181,19.22601287
4.54,68.05,33.29,12336.34039,24.824353,19.21741487
4.56,68.16,33.19,12356.28157,24.749783,19.12876672
4.56,68.17,33.18,12358.0944,24.742326,19.12019811
4.58,68.27,33.11,12376.22275,24.690127,19.05191249
4.58,68.28,33.11,12378.03559,24.690127,19.04912223
4.6,68.38,33.08,12396.16393,24.667756,19.00402988
4.6,68.39,33.08,12397.97677,24.667756,19.00125111
4.62,68.49,33.1,12416.10512,24.68267,18.98497929
4.62,68.5,33.11,12417.91795,24.690127,18.98794257
4.64,68.6,33.18,12436.0463,24.742326,19.00034847
4.64,68.61,33.19,12437.85913,24.749783,19.00330476
4.66,68.72,33.28,12457.80031,24.816896,19.02433422
4.66,68.73,33.29,12459.61315,24.824353,19.02728185
4.68,68.83,33.37,12477.7415,24.884009,19.04529646
4.68,68.84,33.37,12479.55433,24.884009,19.04252986
4.7,68.94,33.41,12497.68268,24.913837,19.03770079
4.7,68.95,33.4,12499.49551,24.90638,19.02924232
4.72,69.06,33.35,12519.4367,24.869095,18.97049069
4.72,69.07,33.34,12521.24953,24.861638,18.96205665
4.74,69.17,33.21,12539.37788,24.764697,18.86081261
4.74,69.18,33.19,12541.19071,24.749783,18.8467294
4.76,69.28,32.97,12559.31906,24.585729,18.69478041
4.76,69.29,32.95,12561.13189,24.570815,18.68074352
4.78,69.4,32.64,12581.07308,24.339648,18.47566078
4.78,69.41,32.61,12582.88591,24.317277,18.4560201
4.8,69.5,32.34,12599.20142,24.115938,18.27950837
4.8,69.51,32.31,12601.01426,24.093567,18.25992417
4.82,69.61,32.02,12619.14261,23.877314,18.07003501
4.82,69.62,31.99,12620.95544,23.854943,18.05051184
4.84,69.72,31.77,12639.08379,23.690889,17.90066383
4.84,69.73,31.75,12640.89662,23.675975,17.88682939
4.86,69.82,31.62,12657.21214,23.579034,17.79062974
4.86,69.83,31.61,12659.02497,23.571577,17.78245646
4.88,69.92,31.56,12675.34048,23.534292,17.73147545
4.88,69.93,31.56,12677.15332,23.534292,17.72893985
4.9,70.02,31.58,12693.46883,23.549206,17.71737264
4.9,70.03,31.58,12695.28166,23.549206,17.71484267
4.92,70.13,31.64,12713.41001,23.593948,17.72319175
4.92,70.14,31.65,12715.22285,23.601405,17.72626563
4.94,70.24,31.7,12733.35119,23.63869,17.72899263
4.94,70.25,31.7,12735.16403,23.63869,17.72646893
4.96,70.34,31.72,12751.47954,23.653604,17.7149575
4.96,70.35,31.72,12753.29238,23.653604,17.71243939
4.98,70.45,31.68,12771.42072,23.623776,17.66499324
4.98,70.46,31.67,12773.23356,23.616319,17.65691087
5,70.55,31.58,12789.54907,23.549206,17.5842726
5,70.56,31.57,12791.36191,23.541749,17.57621312
5.02,70.65,31.43,12807.67742,23.437351,17.47597903
5.02,70.66,31.42,12809.49025,23.429894,17.46794629
5.04,70.76,31.25,12827.6186,23.303125,17.34888218
5.04,70.77,31.24,12829.43144,23.295668,17.34087988
5.06,70.86,31.12,12845.74695,23.206184,17.25232936
5.06,70.87,31.11,12847.55978,23.198727,17.24435197
5.08,70.96,31.04,12863.8753,23.146528,17.18372864
5.08,70.97,31.04,12865.68813,23.146528,17.18130738
5.1,71.06,31.03,12882.00364,23.139071,17.15401844
5.1,71.07,31.04,12883.81648,23.146528,17.15713219
5.12,71.16,31.1,12900.13199,23.19127,17.16855523
5.12,71.17,31.11,12901.94482,23.198727,17.17166256
5.14,71.26,31.21,12918.26034,23.273297,17.20510197
5.14,71.27,31.22,12920.07317,23.280754,17.20819981
5.16,71.36,31.31,12936.38868,23.347867,17.23604132
5.16,71.37,31.31,12938.20152,23.347867,17.23362629
5.18,71.46,31.36,12954.51703,23.385152,17.23940777
5.18,71.47,31.35,12956.32987,23.377695,17.23149916
5.2,71.56,31.33,12972.64538,23.362781,17.19884819
5.2,71.57,31.32,12974.45821,23.355324,17.1909563
